,step,split,loss,lr,elapsed_min,kind,source_file
0,0,train,9.811437797546386,1.4999999999999998e-06,0.0892486095428466,eval,losses.csv
2,0,train,9.807937622070312,1.4999999999999998e-06,0.0920865535736084,train,losses.csv
1,0,val,9.811836757659911,1.4999999999999998e-06,0.0892486095428466,eval,losses.csv
3,10,train,9.319555282592772,1.6499999999999998e-05,0.0968384504318237,train,losses.csv
4,20,train,9.040510177612305,3.149999999999999e-05,0.1016734361648559,train,losses.csv
5,30,train,8.850008010864258,4.65e-05,0.1065672715504964,train,losses.csv
6,40,train,8.658525466918945,6.149999999999999e-05,0.1116098721822102,train,losses.csv
7,50,train,8.368200302124023,7.65e-05,0.116654634475708,train,losses.csv
8,60,train,8.07883071899414,9.15e-05,0.1217159589131673,train,losses.csv
9,70,train,7.89042854309082,0.0001065,0.1267844637235005,train,losses.csv
10,80,train,7.598109245300293,0.0001215,0.1318516333897908,train,losses.csv
11,90,train,7.305197715759277,0.0001364999999999,0.1375855247179667,train,losses.csv
12,100,train,7.134185791015625,0.0001515,0.1435235182444254,train,losses.csv
13,110,train,7.025409698486328,0.0001664999999999,0.1488806804021199,train,losses.csv
14,120,train,6.837244510650635,0.0001815,0.1540400783220926,train,losses.csv
15,130,train,6.7455339431762695,0.0001964999999999,0.1591676831245422,train,losses.csv
16,140,train,6.672133445739746,0.0002115,0.164309291044871,train,losses.csv
17,150,train,6.580392837524414,0.0002264999999999,0.1704190135002136,train,losses.csv
18,160,train,6.434144973754883,0.0002415,0.1771498004595438,train,losses.csv
19,170,train,6.2607879638671875,0.0002565,0.1839062968889872,train,losses.csv
20,180,train,6.315868377685547,0.0002715,0.1906520207722981,train,losses.csv
21,190,train,6.2234392166137695,0.0002864999999999,0.1973995169003804,train,losses.csv
22,200,train,6.142675876617432,0.0003,0.2041536688804626,train,losses.csv
23,210,train,6.148763656616211,0.0002999794388461,0.2109109282493591,train,losses.csv
24,220,train,6.061574935913086,0.0002999177616475,0.2176499923070271,train,losses.csv
25,230,train,5.979912281036377,0.0002998149871918,0.2243993759155273,train,losses.csv
26,240,train,5.929379940032959,0.000299671146785,0.2311348438262939,train,losses.csv
28,250,train,5.963949432373047,0.0002994862842423,0.2826022386550903,eval,losses.csv
27,250,train,5.935042381286621,0.0002994862842423,0.3617501854896545,train,losses.csv
29,250,val,5.962046222686768,0.0002994862842423,0.2826022386550903,eval,losses.csv
30,260,train,5.9915571212768555,0.0002992604558747,0.367107089360555,train,losses.csv
31,270,train,5.913926124572754,0.0002989937304715,0.3718131224314371,train,losses.csv
32,280,train,5.906283378601074,0.0002986861892801,0.376586111386617,train,losses.csv
33,290,train,5.871520042419434,0.0002983379259803,0.3813540776570638,train,losses.csv
34,300,train,5.830071926116943,0.0002979490466566,0.3861971100171407,train,losses.csv
35,310,train,5.706186771392822,0.0002975196697654,0.3911842187245687,train,losses.csv
36,320,train,5.732211589813232,0.000297049926099,0.3963058233261108,train,losses.csv
37,330,train,5.730408191680908,0.000296539958746,0.4021981636683146,train,losses.csv
38,340,train,5.785773277282715,0.0002959899230472,0.4089146534601847,train,losses.csv
39,350,train,5.6807861328125,0.000295399986549,0.4156570355097452,train,losses.csv
40,360,train,5.635769844055176,0.0002947703289516,0.4223849773406982,train,losses.csv
41,370,train,5.659195423126221,0.000294101142055,0.4291433890660603,train,losses.csv
42,380,train,5.661025047302246,0.0002933926296998,0.4359032233556111,train,losses.csv
43,390,train,5.577096939086914,0.0002926450077059,0.4426273941993713,train,losses.csv
44,400,train,5.630971908569336,0.000291858503806,0.4493644634882609,train,losses.csv
45,410,train,5.553598880767822,0.0002910333575771,0.4561377167701721,train,losses.csv
46,420,train,5.5525360107421875,0.0002901698203665,0.4628810008366902,train,losses.csv
47,430,train,5.5236029624938965,0.000289268155216,0.4696476618448893,train,losses.csv
48,440,train,5.598133087158203,0.0002883286367817,0.4764081438382466,train,losses.csv
49,450,train,5.4790358543396,0.0002873515512499,0.4831876476605733,train,losses.csv
